node_id,dx_mm,dy_mm,dz_mm,total_mm
25439,0.0001076548,-0.0000050616,-0.0003068117,0.0003251901
25440,0.0001078688,0.0000015255,-0.0003032587,0.0003218755
25441,0.0001063478,0.0000084806,-0.0002974664,0.0003160190
25442,0.0001046301,0.0000159651,-0.0002872654,0.0003061433
25443,0.0001018857,0.0000233493,-0.0002737607,0.0002930372
25444,0.0000980066,0.0000309248,-0.0002546904,0.0002746432
25445,0.0000940598,0.0000383633,-0.0002342776,0.0002553526
25446,0.0000892174,0.0000452320,-0.0002119698,0.0002343862
25447,0.0000841780,0.0000518752,-0.0001872902,0.0002117890
25448,0.0000782603,0.0000588281,-0.0001594815,0.0001871357
25449,0.0000718380,0.0000662566,-0.0001297094,0.0001624043
25450,0.0000963492,0.0000294539,-0.0002540912,0.0002733369
25451,0.0000914153,0.0000354669,-0.0002347704,0.0002544245
25452,0.0000863970,0.0000421943,-0.0002154065,0.0002358914
25453,0.0000812174,0.0000492697,-0.0001976452,0.0002192884
25454,0.0000765145,0.0000565960,-0.0001809688,0.0002044683
25455,0.0000721525,0.0000630487,-0.0001670959,0.0001926192
25456,0.0000900205,0.0000339643,-0.0002338635,0.0002528822
25457,0.0000926842,0.0000255785,-0.0002487802,0.0002667137
25458,0.0000943410,0.0000175404,-0.0002594435,0.0002766204
25459,0.0000963239,0.0000089141,-0.0002677708,0.0002847085
25460,0.0000964539,-0.0000002566,-0.0002723368,0.0002889130
25461,0.0000959788,-0.0000093779,-0.0002725345,0.0002890933
25462,0.0001035315,0.0000063984,-0.0002894970,0.0003075195
